Feature;LIDC;KITS;LITS;NSCLC;BRATS
wavelet-LL_glrlm_RunLengthNonUniformity;0.957233233101304;0.9999245159104457;0.9997314735088456;0.9978184661877727;0.9966883827053237
wavelet-HH_glszm_SizeZoneNonUniformity;0.9666881427403288;0.9999041936342619;0.9996451348366922;0.9976177698034809;0.995942960463598
wavelet-LL_firstorder_90Percentile;0.997374295039739;0.9980794192551221;0.9241391288694363;0.9689985861378863;0.9998300138643714
wavelet-LL_gldm_DependenceNonUniformity;0.9380911978892421;0.9999013144572506;0.9996921156348859;0.9973270252380426;0.9960097676521578
original_firstorder_90Percentile;0.9971349219961455;0.998257829306604;0.9159622787070967;0.9698710725813413;0.9997750277413515
wavelet-LH_glszm_SizeZoneNonUniformity;0.9578129719301156;0.9998995953357265;0.9996505998581278;0.9969486760870687;0.9962745643771097
original_shape2D_MinorAxisLength;0.9603630787618601;0.9996173941743485;0.9978766131084924;0.9968315076774086;0.9937231952992507
original_shape2D_MajorAxisLength;0.9627191209756156;0.9996683706796816;0.9981016633421372;0.9968075701454144;0.9945998674544053
original_shape2D_Perimeter;0.9639721822689393;0.9994660491291518;0.9981510193026066;0.9964717471046658;0.9769769090406477
original_shape2D_MaximumDiameter;0.9602001762273817;0.9994708198345783;0.9981458671961669;0.9959418546505783;0.9827359913075502
wavelet-LL_gldm_DependenceVariance;0.9959220413264642;0.9984512774354013;0.9423021444965058;0.9808795551944283;0.9990796067018011
wavelet-HL_glszm_SizeZoneNonUniformity;0.9396252735967925;0.9999170382566154;0.9996588411724461;0.9954850856273283;0.9958810504984577
wavelet-LL_glszm_SizeZoneNonUniformity;0.9324918598690174;0.9998271086183279;0.9995746415118018;0.9944924881075594;0.9956646218047596
original_glszm_SizeZoneNonUniformity;0.9348647537981478;0.9998634027727263;0.9996146121769995;0.9944224431058053;0.9956118295685012
wavelet-LH_glrlm_RunVariance;0.9843692143253828;0.9990682794368091;0.9634275580346328;0.995063137372974;0.9963728585689707
wavelet-HL_glrlm_RunVariance;0.9822991579217837;0.9986902791767915;0.9629693036538844;0.9950608761949951;0.9952054011887057
wavelet-LH_gldm_LargeDependenceEmphasis;0.9828680260884721;0.9987994685465007;0.9591814929307411;0.9939946497463765;0.998988694040783
wavelet-HL_gldm_LargeDependenceEmphasis;0.984477811136527;0.998327049951536;0.9611376934929701;0.9939886308975248;0.99862777986981
wavelet-HL_glrlm_LongRunEmphasis;0.9804230343139131;0.9985768839776223;0.9608487455367185;0.9939279699692816;0.9945177309419206
wavelet-LH_glrlm_LongRunEmphasis;0.9810470851164028;0.9989875623971514;0.9583672796838213;0.9938982595119736;0.9967336428126723
wavelet-HH_glrlm_RunVariance;0.9814967120869367;0.9993689777993953;0.978570494010947;0.9932414546427986;0.9975258716673376
wavelet-LH_glrlm_RunPercentage;0.9793900587029007;0.9984659528372772;0.9523399529236787;0.9931476428602168;0.9987566541354744
wavelet-HL_glrlm_RunPercentage;0.980232219378993;0.9977087244755937;0.9551746616607033;0.9930908163137906;0.9983199128479769
original_gldm_DependenceVariance;0.9928756825932368;0.9976694554678978;0.9378496202110598;0.9854412224338333;0.998900411215726
wavelet-HH_glrlm_LongRunEmphasis;0.9819452509059989;0.9992834899076598;0.9775609963160663;0.9921620932046876;0.99776125629204
wavelet-LL_glrlm_RunPercentage;0.985187679610982;0.9975411521623037;0.9478959952618506;0.9917924565576686;0.9986314796859987
wavelet-LL_glrlm_ShortRunEmphasis;0.9732202126482377;0.9967056490159625;0.9301935425323031;0.9917880181598939;0.9967463616125307
wavelet-LL_glrlm_RunLengthNonUniformityNormalized;0.976330563213462;0.996669618416151;0.9381869727454264;0.991667743971487;0.9970901892264084
wavelet-LL_glszm_ZonePercentage;0.9742353844156281;0.9961344531623325;0.9353045833361862;0.9915279651462945;0.9972612725772294
wavelet-LH_glszm_ZoneVariance;0.9798626497859942;0.9998826549892035;0.9721552570167975;0.9940380221131969;0.9911294970756865
original_glrlm_RunPercentage;0.9816559968774797;0.9975886506544053;0.9567346716055884;0.9909831166347149;0.9988843674275192
wavelet-LH_glrlm_ShortRunEmphasis;0.9692933961532548;0.9978959961342788;0.934502879380007;0.9909738777152677;0.9979955639669396
wavelet-LH_glrlm_RunLengthNonUniformityNormalized;0.9724858740456338;0.9976387854960472;0.9398940941658922;0.9908149852242691;0.9979193217796072
wavelet-LL_glcm_Idm;0.9723644363082371;0.9969519036313619;0.9539596927521072;0.9907795986913049;0.9980282503364091
wavelet-HL_glrlm_ShortRunEmphasis;0.969486551018018;0.9972515218853558;0.934340193659825;0.9907420963905302;0.9969669049117287
